timestep,temp_air,rh,wind_dir,wind_speed,dni,dhi
176,21.4,91,80,5.1,110,249
177,22.3,86,80,4.8,329,326
178,23.1,81,80,4.4,560,312
179,24.0,76,120,4.1,685,303
180,24.2,76,120,4.9,776,261
181,24.5,76,120,5.6,853,191
182,24.7,76,120,6.4,827,187
183,25.0,78,130,7.2,739,198
184,24.0,78,120,9.3,613,190
185,24.0,78,130,10.3,364,187
186,24.0,74,100,8.2,115,114
187,23.2,80,100,8.7,0,20
188,22.4,83,90,9.3,0,0
189,22.0,86,90,7.6,0,0
190,21.6,88,90,5.8,0,0
191,21.2,91,90,4.1,0,0
192,20.8,92,90,3.8,0,0
193,20.4,92,90,3.4,0,0
194,20.0,93,60,3.1,0,0
195,20.0,93,60,2.6,0,0
196,20.0,94,90,2.1,0,0
197,19.4,96,0,0.0,0,1
198,22.0,83,0,0.0,0,46
199,23.0,78,80,4.1,206,137
200,23.4,84,90,3.1,433,203
201,24.0,78,120,3.1,658,197
202,24.0,83,120,4.1,766,202
203,25.2,77,120,3.1,814,215
204,26.0,74,140,5.1,882,174
205,26.0,74,130,6.2,878,174
206,25.0,78,130,5.1,832,184
207,25.0,74,120,4.1,745,195
208,25.0,74,110,6.2,616,189
209,25.0,75,110,3.1,364,187
210,24.0,78,130,5.1,115,115
211,23.0,83,150,3.1,0,20
212,22.4,86,140,2.6,0,0
213,22.1,88,140,1.7,0,0
214,21.9,90,140,0.9,0,0
215,21.6,91,0,0.0,0,0
216,20.0,100,200,4.6,0,0
217,21.0,90,200,2.3,0,0
218,22.0,88,0,0.0,0,0
219,22.0,81,0,2.2,0,0
220,22.0,80,0,4.5,0,0
221,22.0,100,210,6.7,0,1
222,22.0,94,200,4.1,0,47
223,23.0,89,190,6.2,113,146
224,23.6,81,190,7.2,273,239
225,23.0,89,190,9.3,420,289
226,23.0,78,180,6.2,537,301
227,23.0,76,180,9.3,589,318
228,23.0,73,200,7.2,677,333
229,23.0,69,210,6.2,799,241
230,23.0,69,210,6.2,841,178
231,23.0,69,160,6.2,755,190
232,23.0,69,260,5.1,623,186
233,22.2,66,160,6.2,338,202
234,22.0,64,150,5.1,110,117
235,21.0,73,140,3.1,0,20
236,19.8,74,130,2.6,0,0
237,20.0,73,140,2.6,0,0
238,19.0,78,150,2.6,0,0
239,16.8,85,0,0.0,0,0
240,15.0,94,0,0.0,0,0
241,15.0,94,0,0.0,0,0
242,13.6,96,330,3.1,0,0
243,14.0,94,310,2.1,0,0
244,14.0,94,330,2.6,0,0
245,13.0,96,330,4.1,0,1
246,15.9,87,330,3.8,0,45
247,18.7,79,330,3.4,217,132
248,21.6,72,270,3.1,398,221
249,22.3,67,270,3.4,601,238
250,23.1,62,270,3.8,707,255
251,23.8,57,270,4.1,782,251
252,24.5,53,270,4.4,846,218
253,25.3,49,270,4.8,845,215
254,26.0,45,210,5.1,813,211
255,25.3,48,210,4.7,731,214
256,24.5,50,210,4.3,570,224
257,23.8,53,210,3.8,341,202
258,23.1,56,210,3.4,111,117
259,22.3,59,210,3.0,0,20
260,21.6,63,70,2.6,0,0
261,22.0,63,70,3.3,0,0
262,21.8,65,70,3.9,0,0
263,21.0,69,70,3.3,0,0
264,20.4,73,70,3.2,0,0
265,20.6,73,70,3.0,0,0
266,20.2,76,70,4.5,0,0
267,20.3,77,70,3.8,0,0
268,20.1,78,70,4.0,0,0
269,19.5,81,130,4.6,0,1
270,20.9,78,130,5.2,0,44
271,22.3,75,130,5.7,188,137
272,23.7,72,130,6.3,406,206
273,23.8,69,130,6.0,604,227
274,23.9,67,130,5.8,719,239
275,24.1,64,130,5.5,827,205
276,23.8,64,130,6.1,831,227
277,23.5,65,130,6.6,829,225
278,23.2,65,160,7.2,796,221
279,22.8,68,160,6.9,698,230
280,22.4,71,160,6.5,550,214
281,22.0,73,170,6.2,232,212
282,21.5,75,170,5.7,80,114
283,21.1,77,170,5.1,0,19
284,20.6,79,180,4.6,0,0
285,20.6,80,180,5.1,0,0
286,20.6,80,180,5.7,0,0
287,20.6,81,160,6.2,0,0
288,20.5,82,160,5.2,0,0
289,20.3,83,160,4.1,0,0
290,20.2,84,160,3.1,0,0
291,19.3,87,160,2.1,0,0
292,18.4,90,160,1.0,0,0
293,17.5,93,0,0.0,0,1
294,18.8,90,0,1.7,0,41
295,20.1,86,0,3.4,112,140
296,21.4,83,270,5.1,68,263
297,22.3,78,270,4.4,380,314
298,23.1,72,270,3.8,596,314
299,24.0,67,240,3.1,775,245
300,24.1,69,240,4.1,864,185
301,24.1,71,240,5.2,859,186
302,24.2,73,220,6.2,816,193
